TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-01-23,2026-01-23,CM,NSE,STK,16921,INE144J01027,20MICRONS,EQ,,,,,20 MICRONS LTD,180.55,182.0,178.2,179.01,178.2,180.07,,179.0,,,90742,16323786.28,2007,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,4,INE253B01015,21STCENMGM,EQ,,,,,21ST CENTURY MGMT SERVICE,39.63,41.0,39.58,39.58,39.58,40.38,,39.58,,,1301,51871.25,49,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13061,INE466L01038,360ONE,EQ,,,,,360 ONE WAM LIMITED,1109.9,1134.1,1100.2,1112.3,1112.6,1106.3,,1112.3,,,1476232,1652122578.9,45879,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,30105,INF579M01BB5,GOLD360,EQ,,,,,360ONEAMC - GOLD360,151.1,153.65,148.35,151.5,151.7,145.25,,151.5,,,174913,26425006.3,2207,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,756150,INF579M01BC3,SILVER360,EQ,,,,,360ONEAMC - SILVER360,292.66,331.42,292.66,307.17,307.6,282.86,,307.18,,,338696,104995675.17,6766,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,6232,INE748C01038,3IINFOLTD,EQ,,,,,3I INFOTECH LIMITED,14.7,15.0,14.7,14.86,14.94,14.91,,14.86,,,228847,3407163.28,1178,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,474,INE470A01017,3MINDIA,EQ,,,,,3M INDIA LIMITED,33900.0,34100.0,33225.0,33315.0,33250.0,33900.0,,33315.85,,,1691,56653040.0,1045,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,2595,INE105C01023,3PLAND,EQ,,,,,3P LAND HOLDINGS LIMITED,36.8,36.8,34.8,35.03,35.19,35.13,,35.04,,,1942,68266.97,58,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,445,INE618L01018,5PAISA,EQ,,,,,5PAISA CAPITAL LIMITED,353.6,356.45,334.0,337.2,336.1,353.6,,337.2,,,73935,25421292.0,4104,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,11868,INE111B01023,63MOONS,EQ,,,,,63 MOONS TECHNOLOGIES LTD,619.9,623.15,585.2,589.8,587.0,617.25,,589.75,,,121901,73064631.6,4540,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,759130,INE08PH01015,ABCOTS,EQ,,,,,A B COTSPIN INDIA LIMITED,414.0,414.0,395.6,408.6,411.3,407.8,,408.45,,,19539,8050934.4,222,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,27020,INE00YB01025,ABINFRA,EQ,,,,,A B INFRABUILD LIMITED,19.0,19.0,17.9,17.99,18.12,18.64,,17.99,,,444978,8070639.41,1240,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,20906,INE619I01012,A2ZINFRA,EQ,,,,,A2Z INFRA ENGINEERING LTD,14.4,14.82,13.99,14.2,14.12,14.12,,14.2,,,285825,4127452.16,508,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,23729,INE883F01010,AADHARHFC,EQ,,,,,AADHAR HOUSING FINANCE L,472.0,472.0,466.1,468.4,467.75,470.05,,468.4,,,261668,122554900.0,6598,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,235,INE087Z01024,AAKASH,EQ,,,,,AAKASH EXPLORATION SER L,7.96,8.23,7.72,7.9,7.98,7.88,,7.9,,,65532,518471.67,378,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,5245,INE198H01019,AAREYDRUGS,EQ,,,,,AAREY DRUGS & PHARM LTD,65.44,68.8,65.25,68.77,68.8,65.53,,68.77,,,257600,17632983.2,890,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1030,INE721Z01010,AARON,EQ,,,,,AARON INDUSTRIES LIMITED,154.5,157.25,152.0,155.53,152.0,154.96,,155.53,,,7164,1113219.68,294,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17145,INE01C001026,AARTECH,EQ,,,,,AARTECH SOLONICS LIMITED,47.55,48.4,45.72,46.3,45.85,47.47,,46.3,,,50936,2407559.73,778,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,4481,INE767A01016,AARTIDRUGS,EQ,,,,,AARTI DRUGS LTD.,375.75,378.5,366.2,370.05,370.05,375.7,,370.05,,,102127,37842193.8,12671,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,7,INE769A01020,AARTIIND,EQ,,,,,AARTI INDUSTRIES LTD,347.8,357.75,345.3,352.8,351.0,346.45,,352.85,,,926961,328341994.75,21255,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13868,INE0LRU01027,AARTIPHARM,EQ,,,,,AARTI PHARMALABS LIMITED,761.6,778.75,755.35,768.7,768.6,760.15,,768.65,,,277301,213041880.4,13470,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,19233,INE09EO01013,AARTISURF,EQ,,,,,AARTI SURFACTANTS LIMITED,434.0,434.0,393.0,405.75,411.0,434.6,,405.8,,,26327,10765669.15,1524,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,19073,INE754X01016,AARVI,EQ,,,,,AARVI ENCON LIMITED,122.0,122.48,118.51,118.73,118.51,121.55,,118.73,,,6733,809388.37,304,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,5385,INE216P01012,AAVAS,EQ,,,,,AAVAS FINANCIERS LIMITED,1463.0,1512.8,1453.5,1479.5,1463.2,1462.8,,1479.35,,,227896,339681093.8,20048,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13288,INE00ZE01026,AFSL,EQ,,,,,ABANS FINANCIAL SRVCS LTD,201.5,202.23,201.0,201.01,201.79,201.0,,201.0,,,11916,2396394.38,114,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,13,INE117A01022,ABB,EQ,,,,,ABB INDIA LIMITED,4760.0,4775.0,4668.5,4694.5,4696.0,4755.5,,4694.45,,,114255,537808162.0,14922,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,17903,INE358A01014,ABBOTINDIA,EQ,,,,,ABBOTT INDIA LIMITED,27850.0,28100.0,27555.0,27780.0,27915.0,27725.0,,27782.2,,,3524,97977140.0,2314,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,5549,INE251C01025,ABMINTLLTD,EQ,,,,,ABM INTERNATIONAL LTD,35.7,38.38,35.7,35.7,35.7,35.61,,35.7,,,530,19114.34,16,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,22,INE012A01025,ACC,EQ,,,,,ACC LIMITED,1728.2,1729.0,1663.9,1669.1,1678.9,1728.2,,1669.15,,,291265,493352737.3,17946,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,7053,INE793A01012,ACCELYA,EQ,,,,,ACCELYA SOLN INDIA LTD,1336.0,1347.9,1314.0,1318.2,1315.0,1336.8,,1318.15,,,6248,8288321.0,952,F1,1,,,,,
2026-01-23,2026-01-23,CM,NSE,STK,1465,INE648Z01023,ACCURACY,EQ,,,,,ACCURACY SHIPPING LIMITED,4.91,5.16,4.86,4.97,5.07,4.86,,5.0,,,137169,680799.89,817,F1,1,,,,,
